cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2013,project_total,start_year,end_year
2012,20,PR8230,Beach Restroom Rehabilitation,Public Works - Engineering,2013 Rebuild aging beach restrooms and install secure  Bids: May 2013 – July 2013 single-stall restrooms per the advice of the Police  Construction: October 2013 – February 2014 Department. FY 13 New Funding,11420126,2629726,3146367,9723759,12870126,2013,2013
2012,21,PW8120,Beach Stairway Replacement,Public Works - Engineering, Bids: December 2012 – May 2013 Repair and replace beach stairways.  Construction: July 2013 – December 2013,903796,903796,903796,700000,1603796,2013,2013
2012,22,PW8170,Belmont Pool and Pier Improvements,Public Works - Engineering, Bids: April 2013 – June 2013 Repair and rebuild aging Belmont Pool and Pier  Construction: August 2013 – August 2014 facilities. FY 13 New Funding,6576530,4603235,5218852,5657679,10876531,2013,2013
2012,23,PW8260,Bluff Erosion Control,Public Works - Engineering," Bids: June 2013 – August 2013 Remediation of eroded bluffs through stabilization,  Construction: October 2013 – February 2014 addition of retaining walls, and enhanced landscaping. Complete the Cherry Beach/Bixby FY 13 New Funding Park Bluff Pedestrian Access and other Bluff Measure D Oil Revenue $900,000 stabilization projects throughout the main beach Total $900,000 area as identified in the bluff stabilization master plan.",13858152,5627013,6595467,8162687,14758154,2013,2013
2012,24,PW8310,Beach Parking Lots Rehabilitation,Public Works - Engineering," Bids: June 2013 – July 2013 Repair beach parking lots, as a part of an on-going  Construction: October 2013 – December 2013 program, as it relates to the five-year Capital Improvement Program. Replace aging pay station FY 13 New Funding equipment. Measure D Oil Revenue $1,450,000 Total $1,450,000",6626620,299888,492629,7583991,8076620,2013,2013
2012,28,PR3010,Park Bike Path Replacement,"Parks, Recreation & Marine","December 2012 Repair, replace, and improve bike path facilities  Bid: January 2013 - February 2013 within parks, including surfacing, signage, striping  Construction: March 2013 - May 2013 and bike racks. FY 13 New Funding",1560168,1355964,1355964,304204,1660168,2013,2013
2012,29,PW3060,Rancho Los Cerritos,"Parks, Recreation & Marine","October 2012 – May 2013 Repair structures, grounds, and utilities at Rancho  Design, Plans, Specifications and Construction: Los Cerritos to address critical items that have not May 2013 – September 2013 been replaced in recent years due to lack of funding. FY 13 New Funding Capital Projects – General Fund $500,000",5358427,5009305,5315797,1042628,6358425,2013,2013
2012,34,PW2040,Convention Center Complex Refurbishment,Public Works - Asset Management," Construction: November 2012 – September The Convention Center's Capital Improvement will 2013 provide facility upgrades that meet the various user needs to remain competitive and enhance FY 13 New Funding marketing efforts. Measure D Oil Revenue $3,900,000 Total $3,900,000",18334383,5792647,9287461,12946923,22234384,2013,2013
2012,35,PW4100,Civic Center Complex Improvements,Public Works - Public Service,"November 2012 The Civic Center Complex facility requires  Construction: December 2012 - April 2013 improvements to maintain each facility in a reliable and efficient operating condition. FY 13 New Funding Civic Center Capital $625,000",8109014,7088037,7131915,1602099,8734014,2013,2013
2012,36,PW4280,Temple/Willow Facilities,Public Works - Fleet Services,"November 2012 The Temple/Willow facility is comprised of over 20  Bids/Award: December 2012 - January 2013 fleet service bays, parts and tire stockroom,  Plans/Permit: February 2013 32,000 gallon Liquefied Natural Gas (LNG) fuel  Construction: March 2013 - April 2013 facility, car and truck wash, administrative offices,  Testing/Inspections: April 2013 parking area comprising over 386,000 square feet, a secure garage for Police evidence storage, and FY 13 New Funding locker room/shower facilities. The program was Fleet Capital $260,000 established for construction of the new site in Total $260,000 1999-2000, but remains active for capital improvements and major equipment replacements.",35826533,35826533,35826533,260000,36086533,2013,2013
