cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2023,year_2024,year_2025,project_total,start_year,end_year
2022,31,3701010000,AIRPORT LANDSIDE IMPROVEMENTS,,The Airport’s landside improvements consists of facilities and areas that support commercial passenger activity at the Airport. The post‐security areas such as the concourse facility and the pre‐security areas such as the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure are critical to support air travel operations and maintaining an award‐winning travel experience.,0,0,1618149,1000000,1000000,1000000,4618149,2023,2025
2022,32,3701020000,AIRPORT AIRFIELD IMPROVEMENTS,,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as‐needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement and pavement marking modifications.",0,0,9551137,1000000,1000000,1000000,12551137,2023,2025
2022,37,3002010000,BEACH AMENITY IMPROVEMENTS,,New play structures and equipment and/or upgrades to existing play structures and equipment. Includes improvements to facilities/infrastructure needed in conjunction with the use of the play areas. • Inclusive Play Elements at Various Playgrounds • Shade Structures at Various Playgrounds • Basketball/Skating Area,0,0,322813,950000,0,0,1272813,2023,2023
2022,38,3002020000,BEACH FACILITY IMPROVEMENTS,,Funding for projects and project contingencies to address unforeseen expenses for existing projects. Design and construct safety and as‐needed repairs at beach and marina facilities. • Beach Restroom Upgrades • Beach Restroom Door Replacements • Pride Tower Node Improvements,0,0,50226979,600000,0,0,50826979,2023,2023
2022,39,3002030000,BEACH PARKING LOTS REHABILITATION,,"Improvements and maintenance to existing beach parking lots, as well as, crack and slurry seal to ensure longevity since initial capital renewal.",0,0,1350,400000,0,0,401350,2023,2023
2022,40,3002050000,BLUFF IMPROVEMENTS,,"Remediation of eroded bluffs through stabilization, addition of retaining walls, and enhanced landscaping.",0,0,0,200000,0,0,200000,2023,2023
2022,41,3002060000,COASTAL TRAIL IMPROVEMENTS,,Planning and preliminary design of infrastructure improvements along the coast. • Peninsula Beach Boardwalk Replacement Planning & Design,0,0,645741,200000,0,0,845741,2023,2023
2022,42,3002080000,MARINA IMPROVEMENTS,,Improvements and repairs of aging Marina facilities. • D avies Boat Launch Ramp,0,0,215896,400000,0,0,615896,2023,2023
2022,43,3002090000,NEARSHORE INFRASTRUCTURE IMPROVEMENTS,,"Improvements to nearshore infrastructure to minimize deficiencies, extend the useful life, and improve energy efficiency. • O il Island LED Ligh(cid:415)ng Conversion",0,0,127082,100000,0,0,227082,2023,2023
2022,44,3002110000,SEAWALL IMPROVEMENTS,,"Repairs to the permanent seawalls located at Naples Island. Improvements include the following: new wall system, guard rails, relocation of private docks and pile guides, landscape, sidewalks, public benches, drainage system, access platform, pavers, and new street lighting. • Naples Seawall Evaluation Update • 62nd Place Seawall and Paver Improvements",0,0,22866,600000,0,0,622866,2023,2023
2022,45,3002120000,LAGOON AND WETLANDS IMPROVEMENTS,,Construct water quality and drainage improvements in the wetlands and Colorado Lagoon area to meet water quality requirements. • Rainbow Lagoon Pump Replacement and Curb Improvements • Marina Vista Park Improvements,0,0,31996255,2125000,0,0,34121255,2023,2023
2022,46,3002140000,COASTAL PLANNING,,"Funding to initiate review, amendments, and/or updates to the City's Local Coastal Program to ensure consistency with other local plans and governing documents.",0,0,0,150000,0,0,150000,2023,2023
2022,52,3003000000,CIP ADMINISTRATION,,Direct administration associated with managing local return programs or projects.,0,0,5531149,4960301,4960301,4960301,20412052,2023,2025
2022,53,3003010000,ADA RAPID RESPONSE,,Construct access ramps and sidewalks on public right‐of‐ way based on verified request.,0,0,605048,550000,550000,550000,2255048,2023,2025
2022,54,3003030000,ARTERIAL CORRIDOR ENHANCEMENTS,,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclist and transit users will experience an improved level of comfort that will proactively encourage multi‐modal use. • Anaheim Corridor Safety Improvements • Artesia Great Boulevard • Studebaker Safety Improvements",0,0,28568783,13711498,9800000,10200000,62280281,2023,2025
2022,55,3003040000,ARTERIAL STREET REHABILITATION,,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings. • A tlan(cid:415)c Avenue between PCH and Spring Street • C herry Avenue between 32nd Street and Wardlow Road • E . Wardlow Road between Stevely Avenue and Norwalk Boulevard • E . Willow Street between Long Beach Boulevard and Atlantic Avenue • L oynes Drive between PCH and Bixby Village Drive • V ictoria Street between West City Limit and Long Beach Boulevard • X imeno Avenue between 10th Street and 15th Street",0,0,32228346,16950000,17360000,18300000,84838346,2023,2025
2022,56,3003060000,BIKEWAY AND PEDESTRIAN IMPROVEMENTS,,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes. •P acific Avenue Cycle Track between Ocean Boulevard to Anaheim Street •P ine Avenue Bike Boulevard between 8th Street and Willow Street •S outh Street Improvements between Dairy Avenue and Atlantic Avenue •D owntown Walkable Street Corners Project •L ivability Ini(cid:415)a(cid:415)ves •G rant Matching Funds",0,0,28592042,3400000,2200000,2500000,36692042,2023,2025
2022,57,3003070000,BRIDGE IMPROVEMENTS,,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach owned bridges. Perform bridge deck repairs listed in the 2016/2017 County of Los Angeles condition surveys.",0,0,30155029,500000,500000,500000,31655029,2023,2025
2022,58,3003100000,ADA CURB RAMP IMPROVEMENTS,,Construct curb ramp improvements for compliance with ADA specifications.,0,0,14328993,9900000,3000000,3000000,30228993,2023,2025
2022,59,3003150000,PARKING GARAGE IMPROVEMENTS,,"Upgrades and improvements made to existing parking garage structures to minimize structural deficiencies, extend the useful life of the structures, and improve energy efficiency. • A quarium Parking Garage LED Ligh(cid:415)ng Upgrade",0,0,2453361,600000,0,0,3053361,2023,2023
2022,60,3003170000,RESIDENTIAL STREET IMPROVEMENTS,,"Repair residential streets and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs gutters, drive approaches, installation of access ramps and replacement signage.",0,0,12655247,14519100,13029000,13429000,53632347,2023,2025
2022,61,3003190000,CITYWIDE SINKHOLES,,Apply permanent repair or temporary patching of sinkholes and subsidence in the public right‐of‐way.,0,0,559382,250000,250000,250000,1309382,2023,2025
2022,62,3003210000,CITYWIDE STRIPING & SIGNAGE PROGRAM,,"Install and replace street name signs and traffic control signs at various locations, as‐needed, throughout the City.",0,0,1252355,250000,250000,250000,2002355,2023,2025
2022,63,3003220000,TRAFFIC SIGNAL IMPROVEMENTS,,"Construct pedestrian related safety improvements and high priority traffic signal safety improvement projects to address accident prone intersections and safety concerns. Implement pedestrian countdown flashing beacons, improve lighting, and crosswalk signals at various intersections. • T raffic Signal Improvements at eight signalized intersections throughout the City",0,0,7606791,1800000,350000,350000,10106791,2023,2025
2022,67,3004020000,OPEN SPACE DEVELOPMENT,,Acquisition of park land and development of parks throughout the City. • Wrigley Greenbelt Development • Davenport Park Expansion Phase II,0,0,13503203,1880000,0,0,15383203,2023,2023
2022,68,3004030000,PARK FACILITY IMPROVEMENTS,,"Improvements to City Park buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • Drake Park ‐ Community Center Improvements",0,0,7354917,1055244,0,0,8410161,2023,2023
2022,73,3005010000,FACILITY IMPROVEMENTS,,"Improvements to City buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • Neighborhood Library Branches • Health Department Facilities • Fire Stations • Park Facilities • Convention Center Complex • Fire Academy Building Improvements • Police Academy Building Improvements • Queen Mary Improvements",0,0,28774992,36469718,0,0,65244710,2023,2023
