cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2020,year_2021,year_2022,project_total,start_year,end_year
2019,27,3701010000,AIRPORT LANDSIDE IMPROVEMENTS,,The Airport’s landside improvements consists of facilities and areas that support commercial passenger activity at the Airport. The post‐security areas such as the concourse facility and the pre‐security areas such as the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure are critical to support air travel operations and maintaining an award‐winning travel experience.,0,0,2692304,2000000,2000000,2000000,8692304,2020,2022
2019,28,3701020000,AIRPORT AIRFIELD IMPROVEMENTS,,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as‐needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement and pavement marking modifications.",0,0,2153856,2000000,2000000,2000000,8153856,2020,2022
2019,33,3002010000,BEACH AMENITY IMPROVEMENTS,,New play structures and equipment and/or upgrades to existing play structures and equipment. Includes improvements to facilities/infrastructure needed in conjunction with the use of the play areas. • Colorado Lagoon Playground,0,0,124482,500000,0,0,624482,2020,2020
2019,34,3002020000,BEACH FACILITY IMPROVEMENTS,,Funding for projects and project contingencies to address unforeseen expenses for existing projects. Design and construct safety and as‐needed repairs at location to be determined. • Marina Boat Storage Improvements • Painting of Various Tidelands Facilities,0,0,66819750,700000,500000,0,68019750,2020,2021
2019,35,3002060000,COASTAL TRAIL IMPROVEMENTS,,Planning and preliminary design of infrastructure to replace retired system of the AES power generation plant. • Alamitos Bay Pump Design,0,0,645896,200000,0,0,845896,2020,2020
2019,36,3002110000,SEAWALL IMPROVEMENTS,,"Repairs to the permanent seawalls located at Naples Island. Improvements include the following: new wall system, guard rails, relocation of private docks and pile guides, landscape, sidewalks, public benches, drainage system, access platform, and new street lighting. • Naples Seawall Phase 2",0,0,15991577,500000,0,0,16491577,2020,2020
2019,41,3003000000,CIP ADMINISTRATION,,Direct administration associated with managing local return programs or projects.,0,0,5876728,1785000,1785000,1785000,11231728,2020,2022
2019,42,3003010000,ADA RAPID RESPONSE,,Construct access ramps and sidewalks on public right‐of‐ way based on verified request.,0,0,3941429,500000,500000,500000,5441429,2020,2022
2019,43,3003020000,ALLEY IMPROVEMENTS,,"Repair residential alleys through pavement sealing, asphalt overlays and full reconstruction.",0,0,2079113,1100000,200000,400000,3779113,2020,2022
2019,44,3003030000,ARTERIAL CORRIDOR ENHANCEMENTS,,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclist and transit users will experience an improved level of comfort that will proactively encourage multi‐modal use. • Anaheim Street Corridor Improvements • Atlantic Streetscape Improvements • Artesia Great Boulevard",0,0,1997560,1480400,500000,500000,4477960,2020,2022
2019,45,3003040000,ARTERIAL STREET REHABILITATION,,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings. Work to be initiated in FY 20: • 4th Steet: Elm Avenue ‐ MLK Avenue • 4th Street: Cerritos Avenue ‐ Almond Avenue • Termino Avenue: 3rd Street ‐ 4th Street • 10th Street: Temple Avenue ‐ Obispo Avenue • Bellflower Boulevard: Gayford Street ‐ Stearns Street • Clark Avenue: Harvey Way ‐ Arbor Road • Willow Avenue: Pacific Avenue ‐ Long Beach Boulevard • Cherry Avenue: Wardlow Road ‐ Bixby Road • San Antonio Dr: Long Beach Boulevard‐Atlantic Avenue • Artesia Boulevard: Orange Avenue ‐ Cherry Avenue",0,0,38135423,15996033,21007261,14600000,89738717,2020,2022
