cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2018,year_2019,year_2020,project_total,start_year,end_year
2017,29,AP1030,AIRPORT TERMINAL AREA IMPROVEMENT,,"The Long Beach Airport's historic terminal building is heavily used on a daily basis. This high usage leads to unforseen repairs and consists of emergency repair to non‐scheduled equipment replacement. The new passenger concourse will require similar as‐needed repairs as the facility ages. The critical need is for the Airport to have the ability to keep the facility operational. The Terminal Improvements Phase II consists of a new ticketing lobby, TSA In‐Line Checked Baggage Screening Facility, baggage claim, Rental Car Facility and a Ground Transportation Center.",0,0,1224020,1000000,1000000,1000000,4224020,2018,2020
2017,30,AP1070,AIRPORT PAVEMENT REHABILITATION,,"Rehabilitation of municipal airport pavement on an as‐ needed basis. Repairs and improvements necessary to comply with Part 139 Certification requirements. Improvements include emergency repairs and unforseen maintenace on utility, pavement, crack sealing and slurry sealing, signage, lighting replacement, pavement marking modifications.",0,0,2454718,1000000,1000000,1000000,5454718,2018,2020
2017,36,PW8000,COLORADO LAGOON,,"Repair and rehabilitate the playground area, irrigation systems and fencing at the Colorado Lagoon.",0,0,93408,0,0,100000,193408,2020,2020
2017,37,PW8170,BELMONT POOL AND PIER IMPROVEMENTS,,Provide funding for development and completion of the Belmont Pool.,0,0,56686672,0,0,500000,57186672,2020,2020
2017,38,PW8310,BEACH PARKING LOTS REHABILITATION,,Repaving and grading for better drainage and striping of parking lots. New gate arm for the boat launch ramp and new electric vehicle charging stations. Upgrades to be made at: • Belmont Pool Parking Lot • Granada Beach Parking Lot,0,0,1914629,500000,0,0,2414629,2018,2018
2017,39,PW8380,ALAMITOS BAY AREA IMPROVEMENTS,,Demolition and installation of a replacement lifeguard station. Demolition of the old facility and purchase of a prefabricated building to be installed on the beach between 54th Place and Ocean Blvd.,0,0,2684119,200000,0,0,2884119,2018,2018
2017,40,PW8400,TIDELANDS CRITICAL FACILITY REPAIRS,,Funding for project contingencies to address unforeseen expense for existing projects. Design and construct safety repairs at locations to be determined.,0,0,1235621,400000,0,0,1635621,2018,2018
2017,46,PW4230,PROP A TRANSIT IMPROVEMENTS,,Primarily bus stop improvements at various locations and recreational transit.,0,0,2089701,1371000,1371000,1371000,6202701,2018,2020
2017,47,PW5050,CITYWIDE LED LIGHTING,,Replace conventional high pressure sodium (HPS) lights with light emitting diodes (LEDs) to extend the useful life and reduce energy costs.,0,0,2198371,210500,139500,0,2548371,2018,2019
2017,48,PW5062,MAJOR AND SECONDARY HIGHWAY (ARTERIAL),,"Reconstruction and resurfacing of City streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps and bus pads, and replace pavement markings. • M ar(cid:415)n Luther King Jr Ave between E 7th St ‐ E 8th St • W Anaheim St between Oregon Ave ‐ Pacific Ave • E 3rd St between Alamitos Ave ‐ Junipero Ave • E Ocean Blvd between Long Beach Blvd ‐ Atlan(cid:415)c Ave • Q ueensway Drive between Underpass ‐ Harbor Plaza • O bispo Ave between E 10th St ‐ PCH north end • R edondo Ave between Wilton St ‐ PCH north end • C lark Ave between E Carson St ‐ Harvey Way • E Willow St between San Vincente Av‐Studebaker Rd • P alo Verde Ave between Barrios St ‐ Wardlow Rd • A tlan(cid:415)c Ave between E 10t St ‐ E Anaheim St • E Anaheim St between Atlan(cid:415)c Ave ‐ Alamitos Ave • M agnolia Av between W 31st St ‐ Wardlow Rd • W Willow St between Golden Ave ‐ Magnolia Ave • E Market St between Atlan(cid:415)c Ave ‐ Orange Ave • S outh St between Atlan(cid:415)c Ave ‐ Walnut Ave • L ong Beach Blvd between Victoria St ‐ Neece St • O range Ave between E 70th St ‐ East 72nd St • P alo Verde Ave between Spring St ‐ Wardlow Rd • O range Ave between 64th St ‐ E Artesia Blvd • D el Amo Blvd between WCL – Long Beach Blvd",0,0,29059944,18527624,12650000,16250689,76488257,2018,2020
