cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2025,year_2026,year_2027,project_total,start_year,end_year
2024,35,3701010000,AIRPORT LANDSIDE IMPROVEMENTS,,"The Airport’s landside improvements consists of facilities and areas that support commercial passenger activity at the Airport. The concourse facility, meeter and greeter plaza, concession space, baggage service area, and the the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure are critical to support air travel operations and maintaining an award-winning travel experience.",0,0,3012664,1000000,1000000,1000000,6012664,2025,2027
2024,36,3701020000,AIRPORT AIRFIELD IMPROVEMENTS,,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as-needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement and pavement marking modifications.",0,0,4145808,1000000,1000000,1000000,7145808,2025,2027
2024,41,3002020000,BEACH FACILITY IMPROVEMENTS,,Funding for projects and project contingencies to address unforeseen expenses for existing projects. Design and construct safety and as-needed repairs at beach and marina facilities. • Tidelands Critical Facilities Reserve • Belmont Beach Aquatic Center,0,0,55734265,3200000,0,0,58934265,2025,2025
2024,42,3002030000,BEACH PARKING LOTS REHABILITATION,,"Improvements and maintenance to existing beach parking lots, as well as, crack and slurry seal to ensure longevity since initial capital renewal. • Marina Green Parking Lot Improvements • Nieto/Colorado Public Parking Lot Repairs",0,0,2188194,900000,0,0,3088194,2025,2025
2024,43,3002040000,BEACH STAIRWAY REPLACEMENT,,Improvements and repairs to the City’s various tidelands and beach access staircases to improve coastal access. • Rehabilitate Beach Bluff Staircases,0,0,600000,300000,0,0,900000,2025,2025
2024,44,3002100000,PIER AND DOCK IMPROVEMENTS,,"Improvements to the City’s various overwater marine structures to improve coastal public access, safety, and increase recreational opportunities. • Belmont Pier Improvements",0,0,2012256,1000000,0,0,3012256,2025,2025
2024,45,3002110000,SEAWALL IMPROVEMENTS,,"Repairs to the permanent seawalls located at Naples Island. Improvements include the following: new wall system, guard rails, relocation of private docks and pile guides, landscape, sidewalks, public benches, drainage system, access platform, pavers, and new street lighting. • Naples Seawalls Phase 3 Planning and Design",0,0,1020333,750000,0,0,1770333,2025,2025
2024,46,3002120000,LAGOON AND WETLANDS IMPROVEMENTS,,Construct water quality and drainage improvements in the wetlands and Colorado Lagoon areas to meet water quality requirements. • Alamitos Bay Water Quality Enhancements • Colorado Lagoon Open Channel Restoration,0,0,30466009,2800000,0,0,33266009,2025,2025
2024,52,3003000000,CIP ADMINISTRATION,,Continuing administration of ongoing transit and/or paratransit programs or projects. As well as direct administration associated with managing local return programs or projects. • Advertising District Planning,0,0,11803387,10322096,8822096,8822096,39769675,2025,2027
2024,53,3003010000,ADA RAPID RESPONSE,,Construct access ramps and sidewalks on public right-of- way based on verified request.,0,0,793659,550000,550000,550000,2443659,2025,2027
2024,54,3003020000,ALLEY IMPROVEMENTS,,"Repair residential alleys through pavement sealing, asphalt overlays and full reconstruction.",0,0,447316,1500000,0,2000000,3947316,2025,2027
2024,55,3003030000,ARTERIAL CORRIDOR ENHANCEMENTS,,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclist and transit users will experience an improved level of comfort that will proactively encourage multi-modal use. • Atlantic Avenue: Ocean Boulevard to 405 Freeway • Anaheim Street Major Corridor Improvements • Willow Street: West City Limit to Signal Hill City Limit",0,0,79169458,10332904,8900000,10800000,109202362,2025,2027
2024,56,3003040000,ARTERIAL STREET REHABILITATION,,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings. • Long Beach Boulevard Improvements",0,0,60699536,20945000,16000000,20600000,118244536,2025,2027
2024,57,3003060000,BIKEWAY AND PEDESTRIAN IMPROVEMENTS,,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes. • Downtown Walkable Corners • Pine Avenue Bike Boulevard • Pacific Avenue Bikeway • 7th Street Pedestrian Improvements • 6th Street Pedestrian Improvements • Citywide Right-of-Way Maintenance • LB Circuit (Micro-Shuttle)",0,0,51866640,4050000,2700000,3300000,61916640,2025,2027
2024,58,3003070000,BRIDGE IMPROVEMENTS,,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach owned bridges. Perform bridge deck repairs listed in the 2016/2017 County of Los Angeles condition surveys.",0,0,39822142,1300000,500000,1300000,42922142,2025,2027
2024,59,3003100000,ADA CURB RAMP IMPROVEMENTS,,Construct curb ramp improvements for compliance with ADA specifications.,0,0,14306290,9883805,10083805,10283805,44557705,2025,2027
2024,60,3003130000,MEDIAN AND PARKWAY IMPROVEMENTS,,Improvements may include re-landscaping and turf convresion to reduce water requirements and installation of solar powered irrigiation controllers. • Ocean Boulevard Median Improvements • 7th Street Safe Streets Initiative • Median Improvements Pilot Program • Santa Fe Green Initiative,0,0,3690346,2550000,0,1100000,7340346,2025,2027
2024,61,3003140000,NEIGHBORHOOD TRAFFIC MITIGATION,,"Enhancements and improvement projects to safety, mobility and active transportation of City neighborhoods.",0,0,2184217,500000,0,0,2684217,2025,2025
2024,62,3003150000,PARKING GARAGE IMPROVEMENTS,,"Upgrades and improvements made to existing parking garage structures to minimize structural deficiencies, extend the useful life of the structures, and improve energy efficiency.",0,0,2084667,1000000,0,0,3084667,2025,2025
2024,63,3003160000,PARKING LOT IMPROVEMENTS,,"Improvements and maintenance to existing City parking lots, as well as, crack and slurry seal to ensure longevity. • Shoreline Drive Diagonal Street Parking Improvements • El Dorado Park Street and Parking Lot Improvements",0,0,401645,700000,0,0,1101645,2025,2025
2024,64,3003170000,RESIDENTIAL STREET IMPROVEMENTS,,"Repair residential streets and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs gutters, drive approaches, installation of access ramps and replacement signage.",0,0,11749630,27129000,12802000,28288000,79968630,2025,2027
2024,65,3003180000,ADA SIDEWALK IMPROVEMENTS,,Reconstruct sidewalk improvements associated with ADA path of travel for pedestrian safe usage.,0,0,496434,2650000,0,0,3146434,2025,2025
2024,66,3003190000,CITYWIDE SINKHOLES,,Apply permanent repair or temporary patching of sinkholes and subsidence in the public right-of-way.,0,0,1019072,1250000,250000,2750000,5269072,2025,2027
2024,67,3003200000,SLURRY SEAL,,Repair residential streets through pavement sealing and slurry sealing. Repair work to also include patching the street pavement and installation of traffic striping and markings.,0,0,1731696,4250000,1500000,3750000,11231696,2025,2027
2024,68,3003210000,CITYWIDE STRIPING & SIGNAGE PROGRAM,,"Install, replace, and maintain street name signs, traffic control signs, and traffic and pedestrian striping at various locations, as-needed, throughout the City. • Vertical Gateway Signage • Cambodia Gateway Signage",0,0,3554043,4600000,250000,1000000,9404043,2025,2027
2024,69,3003220000,TRAFFIC SIGNAL IMPROVEMENTS,,"Construct pedestrian related safety improvements and high priority traffic signal safety improvement projects to address accident prone intersections and safety concerns. Implement pedestrian countdown flashing beacons, improve lighting, and crosswalk signals at various intersections.",0,0,8533376,600000,600000,600000,10333376,2025,2027
2024,73,3004010000,PARK AMENITY IMPROVEMENTS,,"Improvements, upgrades and maintenance of park amenities. Improvements include: activation of unused park space, increase ADA accessibility, playground structures and fitness equipment. • Bixby Park Dog Park Improvements • Heartwell Park Artificial Field Turf Improvements • Heartwell Park Sports Complex • Houghton Park Playground Improvements • Houghton Park Artificial Turf • Houghton Park Sports Complex • Pan American Playground Improvements • Peace Park Playground Improvements • Silverado park Fields and Basketball Court Improvements",0,0,29097268,5650000,1700000,5350000,41797268,2025,2027
