cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2016,project_total,start_year,end_year
2015,26,PW3010,Park Bike Path Replacement,"Parks, Recreation & Marine","On going repair and/or replacement of existing FY 16 New Funding bike paths, facilities, signage and striping of park Transportation Development Act $100,000 bike paths. Total $100,000",1773868,1659641,1769768,104100,1873868,2016,2016
2015,27,PW3070,Park Acquisition & Development,"Parks, Recreation & Marine"," Construction: January 2016 – July 2016 Acquisition of park land and development of parks throughout the City. FY 16 New Funding General Capital Projects $500,000",86008499,72367585,73717370,12791129,86508499,2016,2016
2015,32,PW4100,Civic Center Complex Improvements,Public Works - Public Service,"The Civic Center Complex facility requires FY 16 New Funding improvements to maintain each faciltiy in a reliable Civic Center Capital $500,000 and efficient operating condition. A majority of Total $500,000 these projects will be initiated based on operation needs in conjunction with relocating City Hall.",16126640,9570148,13229806,3396834,16626640,2016,2016
2015,33,PW4160,Cooperative Infrastructure Improvements,Public Works - Engineering,"Due to the significant infrastructure needs, the City FY 16 New Funding Council has allocated funds to address specific Capital Projects - Legislative $2,666,000 needs in each Council District. Total $2,666,000",5710788,1369425,1388272,6991450,8379722,2016,2016
2015,34,PW4240,General City Building Refurbishment,Public Works - Engineering,"2016 Refurbish City Buildings to minimize structural deficiencies and extend the facility useful life. FY 16 New Funding General Capital Projects $160,000",9124314,8084772,8646783,637531,9284314,2016,2016
2015,35,PW4370,Fire Department Facilities Modernization,Fire Department - Facilities,"Modernize fire department facilities at fire stations FY 16 New Funding throughout the City. Upgrades include providing General Capital Projects $1,600,000 gender separation for restrooms and the Total $1,600,000 conversion of common sleeping dorms to private sleeping quarters in order to provide privacy for the workforce. Facility improvements to Stations 2, 4, 10 and 22.",3733761,1765536,1885694,3448067,5333761,2016,2016
2015,36,PW4600,New Civic Center,Economic and Property Development,"Work includes preparing the old courthouse FY 16 New Funding location for the new City Hall and Port General Capital Projects $3,055,000 Headquarters. Total $3,055,000",0,0,0,3055000,3055000,2016,2016
2015,39,PW7020,Storm Drain Pump Station Repair & Certification,Public Works - Engineering,"Construction: April 2016 - October 2016 Ongoing repairs and upgrades to storm water pumps at various locations in accordance with FY 16 New Funding AQMD regulations. General Capital Projects $2,200,000 Total $2,200,000",4470447,1977474,1956135,4714310,6670445,2016,2016
2015,40,PW7030,Storm Drain Refurbishment - Telemetry,Public Works - Engineering," Procurement: April - June 2016 Install and upgrade electrical hardware, sensors,  Construction: July 2016 software, alarms, and computers to monitor, operate, and detect problems at all 23 City owned storm drain pump stations. FY 16 New Funding General Capital Projects $200,000",2359886,2359886,2359886,200000,2559886,2016,2016
2015,41,PW7060,Storm Drain System & Water Quality Improvements,Public Works - Engineering,"Repair storm water catch basins and storm water FY 16 New Funding mainline pipes. Construct storm drain Gas Tax Street Improvement $330,000 enhancements. Conduct water quality Capital improvements along Queensway Bay, San Pedro Total $330,000 Bay, Alamitos Bay, and Los Cerritos Channel. Provide required monitoring modeling and implementation actions associated with Total Maximum Daily Loads (TMDL) as mandated by the State and Federal agencies. Improvements include construction of bioswales, low flow diversions and Structural Best Management Practices (BMP) for trash, metal and bacteria.",22518268,15797521,17072440,5775828,22848268,2016,2016
2015,45,PW4230,Proposition A Transit Related Improvements,Public Works - Engineering," Construction: February 2016 – September 2016 Primarily bus stop improvements at various locations and recreational transit. FY 16 New Funding Proposition A $450,000",7057173,5441351,6457224,1049949,7507173,2016,2016
2015,49,PW5080,Bridge Rehabilitation & Seismic Retrofit,Public Works - Engineering,"16 In conjunction with the County of Los Angeles and CALTRANS, inspect, repair, upgrade, and retrofit FY 16 New Funding City of Long Beach owned bridges. Gas Tax Street Improvement $250,000 Capital",8075090,5846921,6061755,2263334,8325089,2016,2016
2015,50,PW5152,Citywide Residential Street Repair,Public Works - Engineering,"February 2016 Repair residential street and alleys through  Construction: February 2016 - September 2016 pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include FY 16 New Funding replacement of damanged curbs, gutters, drive General Capital Projects $400,000 approaches, installation of access ramps and Measure R $4,500,000 replacement signage. Total $4,900,000",87261199,76169975,83563459,8597739,92161198,2016,2016
2015,51,PW5251,Citywide Infrastructure Improvements (Sidewalks),Public Works - Engineering,February 2016 Construct sidewalk improvements associated with  Construction: February 2016 - September 2016 the backlog of neighborhood infrastructure needs. FY 16 New Funding,66457592,61773477,61808962,4648631,66457593,2016,2016
2015,53,PW5450,ADA Response Program,Public Works - Engineering,"Construct access ramps and sidewalks on public FY 16 New Funding rights of way based on verified requests. Remove Gas Tax Street Improvement $500,000 or relocate City owned obstructions in public right- Capital of-way. Total $500,000",4605653,4111333,4599867,505787,5105654,2016,2016
2015,58,PWT010,Sustainable Transportation Improvements,Public Works - Traffic & Transportation,"Closure by September 2016 Design, construct, implement projects and programs to enhance the safety and viability of FY 16 New Funding bicycle and pedestrian routes. AB2766 – Air Quality $100,000 General Capital Projects $200,000",23433507,9983231,11116450,13763390,24879840,2016,2016
2015,60,PWT110,Citywide Signage Program,Public Works - Traffic & Transportation,"Install and replace street name signs and traffic FY 16 New Funding control signs at various locations throughout the General Capital Projects $950,000 City. Total $950,000",333285,246127,290433,992852,1283285,2016,2016
2015,61,PWT170,Traffic Mitigation Program,Public Works - Traffic & Transportation," Construction: January 2016 - September 2016 Construct improvements to mitigate traffic impacts due to development and increase in traffic FY 16 New Funding volumes. Projects include corridor studies, modal Traffic Mitigation Program $750,000 improvements, and lane addition/modifications. Total $750,000",14031223,10972001,12286689,2494534,14781223,2016,2016
2015,63,PWT190,Traffic & Pedestrian Signals,Public Works - Traffic & Transportation,,17561719,13154496,13219351,5111369,18330720,2016,2016
2015,64,PWT280,Light Rail Transit Related Improvements,Public Works – Traffic & Transportation," Construction: January 2016 - September 2016 Replace aging traffic signal and train control computers to provide traffic signal priority, or FY 16 New Funding synchronization, for Blue Line trains throughout Proposition A $525,000 Long Beach. Total $525,000",3058260,765367,769527,2813733,3583260,2016,2016
2015,65,PWT370,I-710 FWY Major Corridor Improvements,Public Works - Traffic & Transportation," Construction: October 2016 – May 2017 Ongoing support for City participation in the planning process for improvements to the I-710 FY 16 New Funding freeway and improve the southerly terminus of the AB2766 Air Quality $320,000 I-710. Gas Tax Street Improvement $1,480,000 Capital",4470930,1707269,1890534,4380396,6270930,2016,2016
