cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2015,project_total,start_year,end_year
2014,22,PW8000,Colorado Lagoon,City Manager,"Construction: October 2015 - December 2016 Improve the Colorado Lagoon through habitat restoration efforts and reconnect the Lagoon to FY 15 New Funding Alamitos Bay via an open channel. Measure D Oil Revenue $5,000,000 Total $5,000,000",8275364,7498211,7966863,5308501,13275364,2015,2015
2014,23,PW8170,Belmont Pool and Pier Improvements,City Manager, Bids: July 2015 - August 2015 Repair and rebuild aging Belmont Pier and pool  Construction: September 2015 - June 2017 facilities. FY 15 New Funding,30166761,8224632,15989483,53177278,69166761,2015,2015
2014,24,PW8230,Beach Restroom Rehabilitation,City Manager,"September 2015 Rebuild aging beach restrooms and install secure  Construction: December 2014 - June 2015 single-stall restrooms per the advice of the Police Department. FY 15 New Funding Measure D Oil Revenue $2,000,000",10723400,972124,4225475,8497925,12723400,2015,2015
2014,25,PW8290,Beach Maintenance Yard Improvements,City Manager," Construction: May 2015 – December 2015 Repairs and improvements to the Beach Maintenance Yard. FY 15 New Funding Measure D Oil Revenue $250,000",10492,10492,10492,250000,260492,2015,2015
2014,26,PW8400,Tidelands Critical Facilities,City Manager,"Design and construct safety repairs at locations to FY 15 New Funding be determined. Measure D Oil Revenue $376,300 Tidelands Operations Capital $1,623,700",0,0,0,2000000,2000000,2015,2015
2014,30,PR3010,Park Bike Path Replacement,"Parks, Recreation & Marine","On-going repair and/or replacement of existing FY 15 New Funding bike paths, facilities, signage, and striping of park Transportation Development Act $100,000 bike paths. Total $100,000",1763811,1459819,1493844,369967,1863811,2015,2015
2014,31,PW3170,Game Field Upgrades,Public Works - Engineering," Bid: May 2015 – August 2015 Upgrade game fields to accommodate recreational,  Construction: September 2015 – March 2016 youth and adult athletic programs. FY 15 New Funding",3501428,100855,1422239,3348189,4770428,2015,2015
2014,32,PW3220,Irrigation System Replacement,Public Works - Engineering," Construction: April 2015 – November 2015 Upgrade and replacement of park irrigation systems to conserve water and properly maintain FY 15 New Funding landscaping. General Capital Projects $2,000,000 Total $2,000,000",1566707,448907,566707,3000000,3566707,2015,2015
2014,36,PW4160,Cooperative Infrastructure Improvements,Public Works - Engineering,"Due to the significant infrastructure needs, the City FY 15 New Funding Council has allocated funds for each Council Capital Projects - Legislative $3,850,000 District to address specific needs in each Council Total $3,850,000 District.",4505254,1343018,1393018,6962235,8355253,2015,2015
2014,37,PW4280,Temple/Willow Facilities,Public Works - Fleet Services," Permits: January 2015 - April 2015 Install and upgrade heating system, repair the  Construction: May 2015 - August 2015 roof, and exterior repairs and painting to Temple/Willow building facilities located at 2929 E FY 15 New Funding Willow St and 3111 East Willow St. Fleet Capital $1,010,000 Total $1,010,000",36086534,35826908,35826908,1269626,37096534,2015,2015
