cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2014,project_total,start_year,end_year
2013,24,PW8000,Colorado Lagoon,City Manager," Construction: October 2014 - December 2015 Connect Colorado Lagoon to Alamitos Bay via and open natural channel. FY 14 New Funding Measure D Oil Revenue $250,000",8461949,7379016,7498210,1213738,8711948,2014,2014
2013,25,PW8150,Portable Lifeguard Towers,City Manager,August 2014 Reconstruct and rebuild the Junior Lifeguard  Design and Permitting: September 2014 - Station. December 2014  Construction: January 2015 - December 2015,442548,292548,305055,637493,942548,2014,2014
2013,26,PW8170,Belmont Pool and Pier Improvements,City Manager,October 2013 - December 2014 Repair and rebuild aging Belmont Pier and pool  Engineering Design and Permitting: January facilities. 2015 - August 2015  Comstruction: September 2015 - December,22058030,5248851,8224632,14083398,22308030,2014,2014
2013,27,PW8260,Bluff Erosion Control,City Manager," Bids: April 2014 - June 2013, Remediation of eroded bluffs through stabilization,  Construction: July 2014 - October 2014 addition of retaining walls, and enhanced landscaping. Complete the Cherry Beach/Bixby FY 14 New Funding Park Bluff Pedestrian Access and Bluff Measure D Oil Revenue $1,000,000 stabilization. Total $1,000,000",14758151,6595466,6867324,8890827,15758151,2014,2014
2013,28,PW8330,Rainbow Lagoon,City Manager,2014 As part of an ongoing effort to rehabilitate the  Design and Permitting: June 2014 - December Rainbow Lagoon an assessment will be conducted 2014 in FY 14 to review the existing infrastructure.  Construction: January 2015 - August 2015,610504,110504,225003,3385501,3610504,2014,2014
2013,29,PW8360,Rainbow Harbor,City Manager," Construction: January 2015 - May 2015 Repair and reconstruct public docks around Rainbow Harbor. FY 14 New Funding Measure D Oil Revenue $1,500,000",6708662,1376360,2027764,5115330,7143094,2014,2014
2013,30,PW8380,Alamitos Bay Area Improvements,City Manager,"Alamitos Bay Area Improvements FY 14 New Funding Measure D Oil Revenue $1,300,000",4995292,361426,608438,5686853,6295291,2014,2014
2013,31,PW8410,Tidelands Area Roadways,City Manager, Construction: September 2014 - December Reconstruct and repair City streets in the tidelands 2014 area. FY 14 New Funding,450000,0,0,950000,950000,2014,2014
2013,36,PR3010,Park Bike Path Replacement,"Parks, Recreation & Marine","the fiscal year. On-going repair and/or replacement of existing bike paths, facilities, signage, and striping of park FY 14 New Funding bike paths. Transportation Development Act $100,000 Total $100,000",1034764,726917,830772,303992,1134764,2014,2014
2013,37,PW3020,Park Facility Reroofing,Public Works - Engineering," Construction: January 2014 - April 2014 Replace or repair roofs at park facilities to extend the useful life of facilities and protect building FY 14 New Funding inventory General Capital Projects $475,000 Total $475,000",204151,204151,204151,475000,679151,2014,2014
2013,38,PW3050,Rancho Los Alamitos,"Parks, Recreation & Marine","Perform improvements in a manner that is FY 14 New Funding consistent with preserving the historic character of General Capital Projects $50,000 the Rancho. Total $50,000",0,0,0,50000,50000,2014,2014
2013,42,PW3110,Park Infrastructure,"Parks, Recreation & Marine","Perform Parks, Recreation and Marine projects to FY 14 New Funding extend the useful life of infrastructure and provide Capital Projects - Legislative $2,250,000 facilities for park programs. Total $2,250,000",4619431,3206651,3221644,3647787,6869431,2014,2014
2013,43,PW3150,Bixby Park Rehabilitation,"Parks, Recreation & Marine"," Construction: August 2014 - December 2014 Repair and construct park facilities to address community needs and preograms. FY 14 New Funding General Capital Projects $1,000,000",292008,227350,274057,1017951,1292008,2014,2014
2013,44,PW3170,Game Field Upgrades,Public Works - Engineering, Construction: September 2014 - September Upgrade game fields to accommodate recreational 2015 and youth and adult athletic programs. FY 14 New Funding,401670,100377,100855,2620815,2721670,2014,2014
2013,45,PW3200,Recreation Park Rehabilitation,Public Works - Engineering," Construction: June 2014 - November 2014 Repair, replace and improve facilities at Recreation Park. FY 14 New Funding General Capital Projects $1,000,000",1191504,1191504,1191504,1000000,2191504,2014,2014
2013,46,PW3220,Irrigation System Replacement,Public Works - Engineering,"Upgrade and replacement of park irrigation FY 14 New Funding systems to conserve water and properly maintain General Capital Projects $1,100,000 landscaping. Total $1,100,000",448700,440440,448907,1099793,1548700,2014,2014
2013,47,PW3240,Recreation Building Rehabilitation,Public Works - Engineering," Construction: January 2014 - November 2014 Rehabilitate existing buildings to enhance the functional use and maximize operating FY 14 New Funding efficiencies. General Capital Projects $6,000,000 Total $6,000,000",8731981,8350049,8351128,6380853,14731981,2014,2014
2013,48,PW3250,Restroom Rehabilitation,Public Works - Engineering,"Upgrade restrooms to address maintenance and FY 14 New Funding operational improvements. General Capital Projects $150,000 Total $150,000",394242,337992,338249,205993,544242,2014,2014
2013,49,PW3260,Sidewalk Hazard Abatement,Public Works - Engineering,"Replace sidewalks that have deteriorated or have FY 14 New Funding surface offsets. General Capital Projects $250,000 Total $250,000",452874,452874,452874,250000,702874,2014,2014
2013,50,PW3300,El Dorado Park Rehab,Public Works - Engineering," Construction: July 2014 - December 2014 Repair and replace facilities in the City's largest park. FY 14 New Funding General Capital Projects $2,000,000",267699,185562,186378,2081321,2267699,2014,2014
2013,54,PW2040,Convention Center Complex Refurbishment,Public Works - Asset Management," Construction: December 2013 - September The Convention Center’s Capital Improvements 2014 will provide the facility upgrades that meet the various user needs to remain competitive and FY 14 New Funding enhance marketing efforts. Measure R Oil Revenue $5,280,000 Total $5,280,000",27623023,9288585,23185455,9717568,32903023,2014,2014
2013,55,PW4100,Civic Center Complex Improvements,Public Works - Public Service," Construction: December 2013 - August 2014 The Civic Center Complex facility requires improvements to maintain each facility in a reliable FY 14 New Funding and efficient operating condition. A majority of Civic Center Capital $1,200,000 these projects will be initiated based on Total $1,200,000 operational needs in conjunction with the potential of relocating City Hall.",8659014,7131916,7620606,2238409,9859015,2014,2014
