cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2015,year_2016,year_2017,future_cost,project_total,start_year,end_year
2014,14,Aviation Facilities,Airfield Drainage - Master Plan,Environmental,Capital Construction,Citywide,4th/12,5413500,2501045,2912455,2000000,0,0,0,7413500,2015,2015
2014,14,Aviation Facilities,Airfield Signage,Safety/Security,Federal AIP Grant,Citywide,2nd/14,4026791,4026791,0,0,0,0,0,4026791,,
2014,14,Aviation Facilities,Airfield Signage-AAIP,Safety/Security,Capital Construction / Federal AIP Grant,Citywide,2nd/14,1266106,326628,939479,0,0,0,0,1266106,,
2014,14,Aviation Facilities,Aviation Land Acquisition,Aviation Land Acquisition,Capital Construction,Citywide,Various,19222844,18875044,347800,0,0,0,0,19222844,,
2014,14,Aviation Facilities,Computerized Parking and Taxi System - Love Field,Parking,Capital Construction,Citywide,Various,1461494,1386921,74573,2000000,0,0,0,3461494,2015,2015
2014,14,Aviation Facilities,Construction of Taxi Cab Holding Area,Pavement Maintenance / Construction,Capital Construction,Citywide,4th/14,1543540,1543540,0,0,0,0,0,1543540,,
2014,14,Aviation Facilities,Dalfort Building Demolition,Aviation Land Acquisition,Capital Construction,Citywide,4th/13,7066706,1264412,5802294,0,0,0,0,7066706,,
2014,14,Aviation Facilities,Dallas Executive Stormwater Outflow,Environmental,Capital Construction,Citywide,Various,190877,962,189915,0,0,0,0,190877,,
2014,14,Aviation Facilities,FAA Voluntary Airport Low Emission Grant,Environmental,Federal AIP Grant,Citywide,2nd/15,1978179,1016813,961366,0,0,0,0,1978179,,
2014,14,Aviation Facilities,Love Field Modernization Program,Love Field Major Maintenance,Capital Construction,Citywide,2nd/15,7412420,2843730,4568689,7097427,0,0,0,14509847,2015,2015
2014,14,Aviation Facilities,Love Field Modernization Program- Aviation CIP,Terminal,Revenue Bonds,Citywide,Various,20028000,550000,19478000,0,0,0,0,20028000,,
2014,15,Aviation Facilities,"Love Field Perimeter Rd., Rehab- Phase I",Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,3rd/15,1395000,1359142,35858,0,0,0,0,1395000,,
2014,15,Aviation Facilities,Love Field Platting,Love Field Major Maintenance,Capital Construction,Citywide,4th/13,1430763,1413592,17171,0,0,0,0,1430763,,
2014,15,Aviation Facilities,Parking Garage Expansion - Love Field,Parking,Capital Construction,Citywide,Various,16738425,16708506,29919,0,0,0,0,16738425,,
2014,15,Aviation Facilities,People-Mover Connector,Love Field Major Maintenance,Aviation AIP Grant,Citywide,4th/15,5311092,5012736,298356,0,0,0,0,5311092,,
2014,15,Aviation Facilities,Program Management for Love Field Modernization Program (LFMP) and Capital Improvement Projects (CIP),Love Field Major Maintenance,Capital Construction,Citywide,Various,18541854,18532441,9413,2500000,0,0,0,21041854,2015,2015
2014,15,Aviation Facilities,Public Safety Offices - Love Field,Terminal,Capital Construction,Citywide,4th/12,749937,676476,73461,0,0,0,0,749937,,
2014,15,Aviation Facilities,"Reconstruction and Extension of Taxiway ""L""",Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,4th/14,11041866,10203134,838732,0,0,0,0,11041866,,
2014,15,Aviation Facilities,"Reconstruction of Taxiway ""C""",Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,4th/12,6871364,5704782,1166581,0,0,0,0,6871364,,
2014,15,Aviation Facilities,Runway 13L/31R Joint Reseal,Pavement Maintenance / Construction,Capital Construction,Citywide,4th/14,2758433,2306523,451910,0,0,0,0,2758433,,
2014,15,Aviation Facilities,Runway Enhancement-13L/31R,Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,2nd/14,9396127,9396127,0,0,0,0,0,9396127,,
2014,15,Aviation Facilities,Runway Safety Area Enhancements,Pavement Maintenance / Construction,Aviation AIP Grant,Citywide,2nd/14,11743080,11140968,602111,0,0,0,0,11743080,,
2014,15,Aviation Facilities,Taxiway Reconstruction and Extension,Love Field Major Maintenance,Capital Construction,Citywide,3rd/14,3342274,1206275,2135999,0,0,0,0,3342274,,
2014,16,Aviation Facilities,"Taxiway Shoulder Reconstruction (A, M, & D)",Pavement Maintenance / Construction,Capital Construction,Citywide,3rd/14,2879969,2605691,274278,0,0,0,0,2879969,,
2014,21,City Facilities,Americans with Disabilities Renovations,Administrative and Internal Service Facilities,95 Bond Program,Citywide,Various,370352,341282,29070,0,0,0,0,370352,,
2014,21,City Facilities,Animal Control Shelter,Animal Control Facilities,03 Bond Program,Citywide,4th/07,12165329,12148383,16946,0,0,0,0,12165329,,
2014,21,City Facilities,Animal Shelter - Major Maintenance,Major Maintenance - City Facilities,03 Bond Program / 98 Bond Program,Citywide,Various,0,0,0,156291,0,0,0,156291,2015,2015
2014,21,City Facilities,Bexar Street Police Substation,Police Facilities,06 Bond Program,Citywide,2nd/14,550000,406262,143738,0,0,0,0,550000,,
2014,21,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 10),Land Acquisition,06 Bond Program,Citywide,N/A,7616623,7323615,293008,0,150000,150000,13249000,7916623,2016,2017
2014,21,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 12),Land Acquisition,06 Bond Program,Citywide,N/A,1193791,101542,1092249,0,0,0,0,1193791,,
