cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028
2022,Airport Assets,107,Airport Management,Brown Field,AAA00002,2024,2028,Council District: 8; Community Plan: Kearny Mesa,2220200,6355876,"This annual allocation provides for as-needed improvements within the City's Brown Field Municipal Airport; which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport, which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and in compliance with Federal Americans with Disabilities Act (ADA) regulations. Additionally, the project improves aging infrastructure in order to better serve tenants in order to continue to generate revenue and be financially self-sustaining.",0,0,3070000,255676,80000,500000,230000
2022,Airport Assets,108,Airport Management,Montgomery-Gibbs Executive Airport,AAA00001,2023,2026,Council District: 6; Community Plan: Kearny Mesa,3053027,4993027,"This annual allocation provides for as-needed improvements within the City's Montgomery-Gibbs Executive Airport, which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and in compliance with Federal Americans with Disabilities Act (ADA) regulations. Additionally, the project improves aging infrastructure in order to better serve tenants in order to continue to generate revenue and be financially self-sustaining.",0,700000,400000,300000,540000,0,0
2022,Bldg - Operations Facility / Structures,115,Citywide,101 Ash Improvements,S17009,,,Council District: 3; Community Plan: Centre City,27628946,27628947,"This project funded the architectural, electrical, plumbing, asbestos mitigation, and mechanical tenant improvements to the 19 floors of 101 Ash Street for multiple City departments, including tenants of the City Operations Building and former tenants of 1010 2nd Ave building. Improvements were anticipated to increase building’s occupancy and bring the building into compliance with current Americans with Disabilities Act (ADA) standards. After near completion of tenant improvements, project work was suspended due to the discovery of Asbestos Containing Materials (ACM). The ultimate completion of this project will be determined at a later date.","These tenant improvements are needed to increase the occupancy of the building by approximately 356 employees and accommodate the office space requirements for a development permit center, as well as several City departments. These improvements will provide the needed office space for the more than 500 employees who were displaced from the 1010 2nd Ave building along with Development Services staff from the City Operations Building, which based on a 2014 estimate, has more than $90 million in deferred maintenance.",0,0,0,0,0,0,0
2022,Intangible Assets - Information Tech,116,Citywide,Accela Implementation Phase 2,T19003,,,,4118757,4118757,"This project is the next phase in the effort to replace Development Services Department's (DSD) Project Tracking System (PTS). PTS is an in-house system which DSD and the Department of IT staff began developing in 1998 and placed into operation in 2001. DSD uses PTS as its core information system to manage the permitting and development functions for the department. These include the review, comment, issuance, inspection, and archiving functions which are needed in managing the department's permits and projects, as well as code enforcement activities. The scope of this project includes the design, configuration, testing, and deployment of the Development Services module of the Accela platform, as well as the enhancement of the Accela Citizen Access portal. Phase 2 will involve the following: create all permit and approval types found in PTS within Accela, enable multiple independent review cycle functionality to occur, accommodate different review methods (e.g., over-the-counter, submittal, and appointment), expand electronic plan review to digitize 100%, develop and update policies and procedures to support the Accela system, develop interfaces between Accela and other technologies, enhance the Accela Citizen Access public portal and develop and deliver employee training.",,0,0,0,0,0,0,0
2022,Bldg - Other City Facility / Structures,117,Citywide,CIP Emergency Reserve,ABT00006,,,Council District: Citywide; Community Plan: Citywide,1000000,1000000,This annual allocation provides funding for urgent repairs due to an emergency or natural disaster.,This annual allocation provides an immediate source of funding for public works contracts when no alternative funding sources are available in order to respond quickly to an emergency or natural disaster.,0,0,0,0,0,0,0
2022,Bldg - Other City Facility / Structures,118,Citywide,Convention Center Phase III Expansion,S12022,,,Council District: 3; Community Plan: Centre City,3370819,685011298,"This project provides for the expansion of the existing San Diego Convention Center. The expansion will increase the existing leasable space by approximately 225,000 square feet of exhibit hall, 101,000 square feet of meeting rooms, and 80,000 square feet of ballrooms for an approximate total of 406,000 square feet.","The existing facility cannot accommodate some of the larger major events, which leads to the loss of events to other venues. The expansion is expected to increase the attendance and numbers of events held at the facility and provide significant economic benefits to the region.",681640478,0,0,0,0,0,0
2022,Trans - Roadway - Enhance/Scape/Medians,119,Citywide,Convoy District Gateway Sign,S23007,2023,2023,Council District: 6; Community Plan: Kearny Mesa,0,1000000,This project will install a large sign with lighting welcoming visitors to the Convoy district.,There is no sign that currently exists to welcome visitors to this area of the neighborhood.,0,1000000,0,0,0,0,0
2022,Intangible Assets - Information Tech,127,Department of Information Technology,Enterprise Funded IT Projects,ATT00002,2023,2023,,12230948,18640237,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with enterprise funding sources. Individual projects are expected to result in a city-owned asset, which can include, but is not limited to, equipment, system interfaces, and intellectual property.",This annual allocation provides for improvements and enhancements to information technology projects that are solely funded with enterprise resources and allows for increased reporting on these projects. Projects are also expected to have a duration longer than one fiscal year.,0,6409288,0,0,0,0,0
2022,Intangible Assets - Information Tech,128,Department of Information Technology,Governmental Funded IT Projects,ATT00001,,,,2596619,2596619,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with governmental funding sources. Individual projects are expected to have a duration longer than one fiscal year and result in a city-owned asset, which can include but is not limited to equipment, system interfaces, and intellectual property.",This annual allocation provides for improvements and enhancements to information technology projects that are solely funded with governmental resources and allows for increased reporting on these projects. Projects are also expected to have a duration longer than one fiscal year.,0,0,0,0,0,0,0
2022,Landfills,135,Environmental Services,Landfill Improvements,AFA00001,2023,2027,Council District: Citywide; Community Plan: Citywide,7474819,15074820,"This annual allocation provides for improvements to existing sanitary landfills to comply with operating permits and regulatory requirements. Such improvements may include fencing, access roads, drains, small structures, and environmental protection projects. This project also provides for improvements to existing landfill gas systems, including gas migration and groundwater monitoring networks at all landfills managed by the City. Improvements include upgrades to existing or additional facilities as deemed necessary by SB1383, as well as engineering reports and/or design plans and specifications necessary to mitigate landfill gas and groundwater issues or to modify monitoring programs.",,0,3100000,3900000,200000,200000,200000,0
2022,Landfills,136,Environmental Services,Miramar Landfill Facility Improvements,L17000,2023,2024,Council District: Non-City; Community Plan: Non-City,32661102,48861103,This project provides for the construction of infrastructure improvements at the Miramar Landfill. Phase I will provide for the development of a Resource Recovery Facility (RRF) to increase waste diversion from self-haul customers. Phase II will provide for the construction of the Organic Processing Facility project as required to comply with conditions of a State-mandated Waste Discharge Requirement for Composting Operations. Phase III will provide for surface improvements to haul roads. Phase IV will provide for the acquisition of landfill gas collection and processing infrastructure currently in place as part of a transfer of gas rights. Phase V will provide for a backup power system for landfill gas collection and processing infrastructure. Phase VI will provide for the replacement of modular restroom and locker trailers that have exceeded their service life. Phase VII will provide for replacement of modular office trailers that have exceeded their service life.,"The Environmental Services Department (ESD) is responsible for managing operations, maintenance and compliance of the West Miramar Landfill. This CIP will allow for the most efficient execution of future facility improvement projects and helps to implement the City’s Climate Action Plan.",0,6200000,10000000,0,0,0,0
2022,Landfills,137,Environmental Services,Miramar Landfill Storm Water Improvements,L18002,,,Council District: Non-City; Community Plan: Non-City,12299999,12300000,"The project provides for the construction of stormwater infrastructure improvements at the Miramar Landfill to maintain regulatory compliance with the Storm Water Industrial General Permit. The project will be implemented in three phases: Phase I includes paving of haul roads, drainage improvements in the Greenery, stabilization of roadway shoulders and drainage channels, and hydroseeding of inactive fill areas; Phase II includes stabilization and/or hydroseeding of secondary roads, sediment traps, storm drain improvements, and basin expansion; Phase III includes improvements to existing basins and development of new basins where feasible.",The stormwater basins and associated Best Management Practice (BMP) engineered structures at the Miramar Landfill must be properly designed and constructed to ensure compliance with National Pollutant Discharge Elimination System (NPDES) requirements and to avoid regulatory violations.,0,0,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,145,Fire-Rescue,Fairmount Avenue Fire Station,S14018,2023,2023,Council District: 4; Community Plan: Mid-City: City Heights,2327794,23727795,"This project provides for the design and construction of a new permanent fire station of approximately 14,273 square feet. The project will also include the purchase of a new fire engine apparatus. The facility will accommodate ten fire personnel and will include an apparatus bay, dorm rooms, kitchen, watch room, ready room, and station alerting system. The new fire station will comply with Fire’s current station design and construction standards and specifications. This project was included in the Citygate Report.",This project will provide for a fire station to meet emergency response times for the community.,20000000,1400000,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,146,Fire-Rescue,Fire Station No. 48 - Black Mountain Ranch,S15015,2023,2023,Council District: 5; Community Plan: Black Mountain Ranch,15090999,21091000,"This project provides for the land acquisition, design and construction of a new permanent fire station of approximately 11,500 square feet. The facility will accommodate ten crewmembers and will include an apparatus bay, dorm rooms, kitchen, watch room, ready room, station alerting system, and training classroom/multi-purpose room. This project will also include the cost for the purchase of one fire engine. The new station will be located at Carmel Valley Road and Winecreek Road in the Black Mountain Ranch Community. The new fire station will comply with Fire’s current station design and construction standards and specifications.",This project will provide for the needed fire station to meet the emergency response times of the community. Refer to Black Mountain Ranch Facilities Financing Plan projects.,1800000,4200000,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,147,Fire-Rescue,Fire Station No. 49 - Otay Mesa,S00784,,,Council District: 8; Community Plan: Otay Mesa - Nestor; Otay Mesa,3086413,26018413,"This project provides for an approximately 13,000 square foot double-house fire station to serve the Otay Mesa and Otay Mesa/Nestor Communities. The fire station will be located across the intersection of Ocean View Hills Parkway and Sea Fire Point and will serve the community in addition to Fire Station 6 located at 693 Twining Avenue. The fire station will accommodate 3 apparatus bays and will also have a training room. This project will also include the cost for the purchase of one fire engine. The new fire station will comply with Fire’s current station design & construction standards & specifications.",A second fire station is needed to serve the Otay Mesa and neighboring communities and it will ensure consistency with the recommendations in the Citygate Report.,22932000,0,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,148,Fire-Rescue,Fire Station No. 50 - North University City,S13021,,,Council District: 1; Community Plan: University,14999999,15000000,"This new facility will provide support to the University City area and will provide emergency response times that meet City and national standards. This new fire station will accommodate up to twelve crew members, a fire engine, service aerial truck, ambulance, and training room. The size of the station is approximately 13,500 square feet. The building design will comply with Fire’s current design and construction standards.",An additional fire station is needed in this area to ensure consistency with the recommendations in the Citygate Report.,0,0,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,149,Fire-Rescue,Fire Station No. 51 - Skyline Hills,S14017,2023,2023,Council District: 4; Community Plan: Skyline - Paradise Hills,999999,14840957,"This project provides for the design and construction of a 10,700 square foot permanent station to be built at 7180 Skyline Drive to better serve the growing community of Skyline/Paradise Hills.","An additional fire station is needed in this area to meet response time guidelines in this growing community, as recommended in the Citygate Report.",12890957,950000,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,150,Fire-Rescue,Fire Station No. 54 - Paradise Hills,S00785,,,Council District: 4; Community Plan: Skyline - Paradise Hills,83653,18605653,"This project provides for the design and construction of a new 12,500 square foot fire station in the Paradise Hills area to serve the Paradise Hills/Skyline area as well as the purchase of a fire engine apparatus. The new station will accommodate 10 fire personnel, include 3 apparatus bays, dorms, kitchen, watch room, ready room, station alerting, and all essential station infrastructure. The site for this project has not been identified. The new fire station will comply with Fire’s current station design and construction standards & specifications.",This station is needed to serve the Paradise Hills/Skyline community and will ensure consistency with the recommendations in the Citygate Report.,18522000,0,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,151,Fire-Rescue,Fire-Rescue Air Ops Facility - PH II,S18007,,,Council District: 6; Community Plan: Kearny Mesa,4767797,23150245,"This project provides for the design & construction of a permanent Fire-Rescue Air Operations Facility station at the City's Montgomery-Gibbs Executive Airport. This project will include two hangars and parking spaces for five helicopters, an additional helipad, parking and shelter for a single Heli tender, and three fueling tender vehicles. Due to impacts of existing vernal pools, the project will provide off-site mitigation in Otay Mesa in conjunction with the La Media Road widening project. This project will also provide a hangar support area that includes space for maintenance offices, overhaul, avionics, and storage rooms.",SDFD Air Ops personnel currently do not have any hangar space to house or perform maintenance on aircraft. The proposed hangars will mitigate equipment corrosion from the elements and increase both the safety & lifespan of the aircraft. This project will provide a much-needed permanent solution for the Fire-Rescue Air Operations Facility to meet their air rescue operational requirements.,18382448,0,0,0,0,0,0
2022,Bldg - Pub Safety - Lifeguard Stations,152,Fire-Rescue,North Pacific Beach Lifeguard Station,S10119,,,Council District: 2; Community Plan: Pacific Beach,764820,7257598,"This project provides for the North Pacific Beach Lifeguard Station located at the foot of Law Street, which will be a year-round facility replacing the current station. The structure will include an observation tower, first aid room, reception area, kitchen, locker room/restroom areas, and a rescue vehicles facility.",North Pacific Beach has become a highly frequented beach over the years and new facilities will benefit both the public and the employees. Lifeguards are currently operating from a seasonal tower structure supported by a container-type of facility where medical aids and other daily activities like food preparation take place. This can create health issues for both the public and the employees.,6492777,0,0,0,0,0,0
2022,Bldg - Pub Safety - Fire Fac / Struct,153,Fire-Rescue,Torrey Pines Fire Station,S19003,,,Council District: 1; Community Plan: La Jolla,20555999,20856000,"This project provides for the design and construction of a new permanent 3-bay fire station of approximately 14,664 square feet. The facility will accommodate a crew of nine to eleven fire personnel, and onsite surface parking for Fire-Rescue personnel. In addition, the offsite improvements include but are not limited to site grading, utility, and street/traffic improvements within the public right-of-way along Torrey Pines Road to allow for emergency response apparatus egress and ingress.",This project will provide for the permanent fire station and the associated infrastructure necessary to meet the Fire-Rescue Department’s current operational requirements.,300000,0,0,0,0,0,0
2022,Bldg - Other City Facility / Structures,163,General Services,City Facilities Improvements,ABT00001,2023,2026,Council District: Citywide; Community Plan: Citywide,26867075,826273747,"This annual allocation provides for capital improvements at City facilities. Potential improvements include improvements to roofs, heating, ventilation, air- conditioning, elevator replacements, adjacent parking lots, and facility expansions.",Several City-owned facilities are in need of repair or major improvements. High- priority repairs and City improvements will be completed with this allocation. Funding for this annual allocation will ensure City facilities remain safe and operable.,782966216,6245784,5194672,3500000,1500000,0,0
2022,Bldg - Other City Facility / Structures,164,General Services,Fleet Operations Facilities,L14002,,,Council District: Citywide; Community Plan: Citywide,2328735,10652886,"This project will provide needed improvements within the City's Fleet Operations repair facilities. Phase 1 of this project provides for the electrical improvements at the Miramar Place Fleet Services. Phase 2 of this project provides for the electrical improvements at the Rose Canyon Fleet Services. Phase 3 of this project provides for the replacement of pump systems, sprayers, brushes, buildings/awnings, surrounding structures, etc. for three large car washes located at Chollas Operations Yard, 20th & B St. and at Rose Canyon. Phase 4 of this project provides for the replacement of two existing non-operational cranes with a runway system each with a 33-foot span and a capacity of 2- tons located within the Fleet Repair Facilities at the Chollas Operations Yard. Phase 5 of this project provides for the replacement of the Chollas Operations Yard paint booth that was built in the 1960's. Phase 6 of this project provides for the replacement or rehabilitation of nine existing small car washes located at the Police substations.",This project is necessary to properly equip the existing City's Fleet repair facilities to support the car and truck washes at 20th and B St. and the Chollas Operations Yard which are non-functional and in need of replacement. The other car and truck washes require a variety of repairs and upgrades. Washing City vehicles is a storm water compliance requirement to keep debris from falling in the roadway and the repairs and replacements are necessary to remain in compliance with storm water regulations. Chollas Operations Yard crane replacement and related improvements are needed to assist Fleet staff to safely and efficiently complete necessary repairs.,8324151,0,0,0,0,0,0
