cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030
2024,Bldg - Operations Facility / Structures,90,Citywide,101 Ash Improvements,S17009,,,Council District: 3; Community Plan: Centre City,27628946,27628947,"This project funded the architectural, electrical, plumbing, asbestos mitigation, and mechanical tenant improvements to the 19 floors of 101 Ash Street for multiple City departments, including tenants of the City Operations Building and former tenants of 1010 2nd Ave building. Improvements were anticipated to increase building’s occupancy and bring the building into compliance with current Americans with Disabilities Act (ADA) standards. After near completion of tenant improvements, project work was suspended due to the discovery of Asbestos Containing Materials (ACM).","These tenant improvements were intended to increase the occupancy of the building by approximately 356 employees and accommodate the office space requirements for a development permit center, as well as several City departments. These improvements were intended to provide the needed office space for the more than 500 employees who were displaced from the 1010 2nd Ave building along with Development Services staff from the City Operations Building, which based on a 2014 estimate, has more than $90 million in deferred maintenance.",0,0,0,0,0,0,0
2024,Bldg - Other City Facility / Structures,91,Citywide,CIP Emergency Reserve,ABT00006,,,Council District: Citywide; Community Plan: Citywide,1000000,1000000,This annual allocation provides funding for urgent repairs due to an emergency or natural disaster.,This annual allocation provides an immediate source of funding for public works contracts when no alternative funding sources are available in order to respond quickly to an emergency or natural disaster.,0,0,0,0,0,0,0
2024,Bldg - Other City Facility / Structures,92,Citywide,Convention Center Phase III Expansion,S12022,,,Council District: 3; Community Plan: Centre City,3370819,685011298,"This project provides for the expansion of the existing San Diego Convention Center. The expansion is intended to increase the existing leasable space by approximately 225,000 square feet of exhibit hall, 101,000 square feet of meeting rooms, and 80,000 square feet of ballrooms for an approximate total of 406,000 square feet.","The existing facility cannot accommodate some of the larger major events, which leads to the loss of events to other venues. The expansion is expected to increase the attendance and numbers of events held at the facility and provide significant economic benefits to the region.",681640478,0,0,0,0,0,0
2024,Trans - Roadway - Enhance/Scape/Medians,93,Citywide,Convoy District Gateway Sign,S23007,,,Council District: 6; Community Plan: Kearny Mesa,1499999,1500000,"This project will install a custom 30-foot illuminated sign, welcoming visitors to the Convoy District. It is managed by the Asian Business Association Foundation through a compensation agreement with the City.","This project will provide civic brand identity to the community, which will result in energized collaborative efforts and increased community participation.",0,0,0,0,0,0,0
2024,Intangible Assets - Information Tech,94,Citywide,Electronic Positive Response Software,T24000,,,,500000,500000,"Replacement of legacy Electronic Positive Response Solution. The new solution benefits the City departments Transportation, Stormwater and Public Utilities that perform location services of underground City owned assets.","Replacement of legacy Electronic Positive Response Solution. The new solution benefits the City departments Transportation, Stormwater and Public Utilities that perform location services of underground City owned assets.",0,0,0,0,0,0,0
2024,Intangible Assets - Information Tech,102,Department of Information Technology,Enterprise Funded IT Projects,ATT00002,,,,23148873,23148874,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with enterprise funding sources. Individual projects are expected to result in a city-owned asset, which can include, but is not limited to, equipment, system interfaces, and intellectual property.",This annual allocation provides for improvements and enhancements to information technology projects that are expected to have a duration longer than one fiscal year.,0,0,0,0,0,0,0
2024,Intangible Assets - Information Tech,103,Department of Information Technology,Governmental Funded IT Projects,ATT00001,2025,2025,,673643,1673643,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with governmental funding sources. Individual projects are expected to have a duration longer than one fiscal year and result in a city-owned asset, which can include but is not limited to equipment, system interfaces, and intellectual property.",,0,1000000,0,0,0,0,0
2024,Intangible Assets - Information Tech,104,Department of Information Technology,SAP Modernization,T25000,2025,2025,,0,136960000,"This project provides for the modernization of the City's SAP system to implement a modernized Enterprise Resource Planning (ERP) system using emerging cloud, data analytics, and intelligent technologies.","This is a new ERP solution with technologies to facilitate optimized application development, integrations, and infrastructure management. These upgrades are critical for effective asset management and service delivery.",134000000,2960000,0,0,0,0,0
2024,Airport Assets,112,Economic Development,Brown Field,AAA00002,2026,2029,Council District: 8; Community Plan: Otay Mesa,3720199,18442600,"This annual allocation provides for as-needed improvements within the City's Brown Field Municipal Airport; which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport, which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and in compliance with Federal Americans with Disabilities Act (ADA) regulations. Additionally, the project improves aging infrastructure to better serve tenants in order to continue to generate revenue and be financially self-sustaining.",0,0,8237000,1945620,0,4539780,0
2024,Airport Assets,113,Economic Development,Montgomery-Gibbs Executive Airport,AAA00001,2026,2029,Council District: 6; Community Plan: Kearny Mesa,7674985,32474553,"This annual allocation provides for as-needed improvements within the City's Montgomery-Gibbs Executive Airport, which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and in compliance with Federal Americans with Disabilities Act (ADA) regulations. Additionally, the project improves aging infrastructure to better serve tenants in order to continue to generate revenue and be financially self-sustaining.",0,0,7407338,7826263,2869790,6696176,0
